name,address,n_transfers
rarible_v1,0xcc05b7293f494fe696eff36f93e2957ba445ea06,53
rarible_v1,0xd9c570f5e932e088c9a3b44a697b969efcf03658,53
,0x47f42e4d4de7ebf20d582e57ecd88ff64b2d7910,52
rarible_v1,0x5b52014d73e0c8c0eb0ad3720fc159d054790223,52
rarible_v1,0x0044840e9b4e6a08cba475cc89ced69ec3381266,52
rarible_v1,0x083775fdfcf0cb4780efe9710801d082005b55ea,51
rarible_v1,0xa1b618929713134b6dda32a33e2e36d6a0cf52ef,51
rarible_v1,0xaf07976696c7a8131a68231d20d12a46af3cb0be,51
rarible_v1,0x0cf674e50aded42d405e1fd750f3998d8f9a033b,51
rarible_v1,0xf40dc4cc7040635ae66ed2c54058ccb76dc239bb,50
rarible_v1,0x744481b9b295fbef4636eff8ffe7d2901246dcfe,50
rarible_v1,0x17da747050f3beb80607e22a6cb049f81a4cad7d,50
rarible_v1,0x9f7a104b3107e383eec1428350cad516d3533981,49
rarible_v1,0x9da8081f9968e6de274082849df797e6137f6fc6,48
rarible_v1,0xc38c8f281f1e1e217d279a6d58a43d079e28a213,48
rarible_v1,0xdeccd8da4a6f9b6f4a8da8012c11d2da912edb7b,47
rarible_v1,0x53be1d870a4877405675da657364f753bcea3e23,47
rarible_v1,0x7c39a6a2df2c022d1dce4ad3dfe32c9ec9c169bc,47
rarible_v1,0x36bcede9b5a1328a8912b63389604ff451fa5a8e,47
rarible_v1,0x1f60b693d98048e932b87b8b668e2f3b726fa7ea,47
rarible_v1,0x7a06d2a294dd58e8ca84cb7f96919075888c098a,47
rarible_v1,0x0538f977dae1fd982406e8e0c82120c3bb62656a,47
rarible_v1,0xdd5df84997150ad121d8e31b631388265250c054,47
rarible_v1,0xad9ffaa822c0b31682ebb9f66a426cbc7edc5cd2,46
rarible_v1,0x25adc9c741b273639888081d4b79b2eb33a9785e,46
rarible_v1,0x08d0de44c61634775c2238197a28ee20b6cd5d5e,46
rarible_v1,0x2202751e546665c4e6456d1ba27db4f246004063,46
rarible_v1,0x2dc8784cbec4acbf852309a931b9ab1a08a7fcaa,46
rarible_v1,0x25993d11d50f8be484abe2e5ab0761f3585c2672,45
rarible_v1,0x5111c8103776e097c7114282c9e0ff7acba16095,45
